symbol,window,stop_multiplier,target_multiplier,total_return_pct,sharpe_ratio,max_drawdown_pct,trade_count
QQQ,2021-09-16..2026-09-18,1.5,6.0,2.1938343229602086,0.3418344526985076,4.30251176662847,124
QQQ,2021-09-16..2026-09-18,2.0,2.0,2.9407815829390227,0.4769403073203231,4.218462903459723,233
QQQ,2021-09-16..2026-09-18,2.0,3.0,3.3795837990205913,0.5314182805976728,3.95505349598123,147
QQQ,2021-09-16..2026-09-18,2.0,4.0,2.179090491323521,0.3361161109677016,4.285266076611538,131
QQQ,2021-09-16..2026-09-18,2.0,6.0,2.1986981064792355,0.336984047099488,4.310491260726903,100
QQQ,2021-09-16..2026-09-18,3.0,2.0,2.6819854255607067,0.4296945956615891,4.110177718400645,163
QQQ,2021-09-16..2026-09-18,3.0,3.0,3.1434235428805746,0.4832089733469904,3.970532721749805,115
QQQ,2021-09-16..2026-09-18,3.0,4.0,1.8461825535942777,0.28193635430924946,4.052262081998459,104
QQQ,2021-09-16..2026-09-18,3.0,6.0,2.010807248245583,0.3079832928886343,4.167576698480156,75
QQQ,2021-09-16..2026-09-18,4.0,2.0,2.1627217847409286,0.33679586264417716,4.1392727935368026,140
QQQ,2021-09-16..2026-09-18,4.0,3.0,3.293609415836962,0.4978600643161349,4.04115737029266,101
QQQ,2021-09-16..2026-09-18,4.0,4.0,2.7996428036342946,0.41531200336175045,4.049470980282031,80
QQQ,2021-09-16..2026-09-18,4.0,6.0,2.5140330583219406,0.37246689073333183,4.244998317595662,58
BTC-USD,2016-09-19..2021-09-18,1.0,2.0,7.162412021310716,0.904950640276031,2.1805330006286496,460
BTC-USD,2016-09-19..2021-09-18,1.0,3.0,8.053697549623418,0.9509910784559477,2.361103870676829,348
BTC-USD,2016-09-19..2021-09-18,1.0,4.0,8.807760001165166,0.9703042791199662,2.2150672811225687,303
BTC-USD,2016-09-19..2021-09-18,1.0,6.0,9.469062497235425,0.9574836944656389,2.4346985287058445,226
BTC-USD,2016-09-19..2021-09-18,1.5,2.0,6.863129223651954,0.8240064899602536,2.3399489717836333,365
BTC-USD,2016-09-19..2021-09-18,1.5,3.0,6.801011635420373,0.7752545321572802,2.5118836300407548,267
BTC-USD,2016-09-19..2021-09-18,1.5,4.0,9.226239782629332,0.9839098136836574,2.153948411443377,237
BTC-USD,2016-09-19..2021-09-18,1.5,6.0,9.088714964421607,0.9187615147817744,2.7864316232713287,166
BTC-USD,2016-09-19..2021-09-18,2.0,2.0,6.021323444693838,0.6912334767943147,2.8200690461625557,316
BTC-USD,2016-09-19..2021-09-18,2.0,3.0,7.47163903299537,0.8131930280966063,2.933612416711373,222
BTC-USD,2016-09-19..2021-09-18,2.0,4.0,9.179895435135732,0.9497545190098012,2.3598876535491256,197
BTC-USD,2016-09-19..2021-09-18,2.0,6.0,9.240960160949507,0.9085779697255805,2.827245807570117,140
BTC-USD,2016-09-19..2021-09-18,3.0,2.0,6.9294652343098395,0.7561702410988058,2.534206186454284,240
BTC-USD,2016-09-19..2021-09-18,3.0,3.0,8.899755229820405,0.9203548759313817,2.3139509415477324,178
BTC-USD,2016-09-19..2021-09-18,3.0,4.0,9.04154982606251,0.8996509541179606,2.3442010497847576,152
BTC-USD,2016-09-19..2021-09-18,3.0,6.0,10.373228984443038,0.9681303294009813,2.5595548350902266,111
BTC-USD,2016-09-19..2021-09-18,4.0,2.0,7.189372801429883,0.7812775282053445,2.8067922300590706,195
BTC-USD,2016-09-19..2021-09-18,4.0,3.0,8.464988029897258,0.860283020258678,2.9611175022380865,162
BTC-USD,2016-09-19..2021-09-18,4.0,4.0,8.823037852941408,0.8760860334284819,2.6182299056447937,124
